bigram,harris_pre,harris_post,trump_pre,trump_post
kamala harris,24004,24823,6307,1281
donald trump,4714,2824,21232,16000
vote harris,4830,4172,1364,309
voted trump,100,2242,733,7588
harris campaign,3351,6305,642,219
biden harris,1642,6240,425,341
harris trump,3244,1987,2830,479
vote trump,759,1008,4014,2303
trump harris,2568,2138,2243,466
like trump,222,403,2812,3885
voted harris,591,6111,95,367
trump would,596,656,3000,2793
trump voters,284,819,1745,3790
trump supporters,359,328,2810,3045
elon musk,497,487,2820,2707
trump wins,877,228,4781,608
trump administration,144,217,1314,4570
vice president,2725,2152,1080,257
trump won,98,1302,626,3815
trump win,603,447,3203,1444
harris wins,3678,717,1049,81
white house,632,810,1635,2380
think trump,291,262,2138,2449
voting harris,2683,1256,694,88
harris lost,59,4264,12,206
swing states,848,2144,769,737
joe biden,639,1932,757,1162
voting trump,428,413,2272,1221
don't think,676,963,1348,1312
harris would,942,2874,291,162
trump campaign,397,285,2903,646
trump going,175,274,1142,2433
harris win,2261,992,597,65
trump wants,173,135,1179,2426
project 2025,276,428,1158,2008
popular vote,486,1836,587,954
trump said,167,283,1611,1722
new york,804,365,1727,724
president kamala,1645,1198,596,98
don't know,549,761,1074,1113
four years,350,811,805,1484
top trending,451,183,2160,634
people voted,51,1494,145,1736
trump presidency,241,144,1508,1382
harris walz,1281,1520,227,55
united states,478,512,800,1289
trump says,174,90,1647,1151
fox news,831,364,989,834
president harris,1180,1427,340,63
poll poll,1530,13,1423,6
